osm_id,plant_name,bmu_id,ngc_bmu_id,bmu_type,source,notes
way/1214798355,Hydro Ness,2__PMARB001,LCSMH-1,S,auto,
way/1214798355,Hydro Ness,2__PINDE000,NSC-INE01,G,auto,
way/1214798355,Hydro Ness,2__PMIDE000,NSC-MID01,G,auto,
way/1214798355,Hydro Ness,2__PNEEB000,NSC-NEE01,G,auto,
way/1214798355,Hydro Ness,2__PNATP000,NSC-NPE01,G,auto,
way/1214798355,Hydro Ness,2__PYELG000,NSC-YEP01,G,auto,
way/1347689402,Invergarry Power Station,T_INGAD-1,INGAD-1,T,auto,
way/1442624228,Coupar Angus BESS,E_CUPAB-1,CUPAB-1,E,auto,
way/461434781,Battery Point Power Station,V__MCEND001,AG-CBS08M,V,auto,
way/461434781,Battery Point Power Station,E_BHOLB-1,BHOLB-1,E,auto,
way/461434781,Battery Point Power Station,T_BLWNB-1,BLWNB-1,T,auto,
way/461434781,Battery Point Power Station,E_BROAB-1,BROAB-1,E,auto,
way/461434781,Battery Point Power Station,E_CONTB-1,CONTB-1,E,auto,
way/461434781,Battery Point Power Station,E_HAWKB-1,HAWKB-1,E,auto,
way/461434781,Battery Point Power Station,T_NLSTB-1,NLSTB-1,T,auto,
way/461434781,Battery Point Power Station,T_PNYCB-1,PNYCB-1,T,auto,
way/461434781,Battery Point Power Station,E_SKELB-1,SKELB-1,E,auto,
way/461434781,Battery Point Power Station,T_USKMB-4,USKMB-4,T,auto,
way/461434781,Battery Point Power Station,T_USKMB-5,USKMB-5,T,auto,
way/461434781,Battery Point Power Station,T_WBURB-41,WBURB-41,T,auto,
way/461434781,Battery Point Power Station,T_WBURB-43,WBURB-43,T,auto,
way/461434781,Battery Point Power Station,T_WHLWB-1,WHLWB-1,T,auto,
relation/7868829,Chapel Lane Solar Farm,E_CHAPB-1,CHAPB-1,E,auto,
relation/7873194,Park Wood,V__BGAZP001,AG-GZP06B,V,auto,
relation/7873194,Park Wood,T_BAGED-1,BAGED-1,T,auto,
relation/7873194,Park Wood,T_COYLB-1,COYLB-1,T,auto,
relation/7873194,Park Wood,T_RICHB-1,RICHB-1,T,auto,
relation/7873194,Park Wood,T_RICHB-2,RICHB-2,T,auto,
relation/7873194,Park Wood,T_TEBWB-1,TEBWB-1,T,auto,
relation/7873194,Park Wood,T_TEBWS-1,TEBWS-1,T,auto,
relation/7873194,Park Wood,E_TRFPK-1,TRFPK-1,E,auto,
relation/7877231,High Penn Solar Park,T_JGPR-1,JGPR-1,T,auto,
relation/9106671,Cross Roads Plantation Solar Farm,T_BROCW-1,BROCW-1,T,auto,
relation/9106671,Cross Roads Plantation Solar Farm,E_GRCRB-1,GRCRB-1,E,auto,
relation/9291197,Water Eaton Farm/Port Farm,E_WTRLN-1,WTRLN-1,E,auto,
relation/9455566,Ferry Farm I,T_FIDL-1,FIDL-1,T,auto,
relation/9455566,Ferry Farm I,T_FIDL-2,FIDL-2,T,auto,
relation/9455566,Ferry Farm I,T_FIDL-2G,FIDL-2G,T,auto,
relation/9455566,Ferry Farm I,T_FIDL-3,FIDL-3,T,auto,
